acousticness,analysis_url,artist_name,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,track_name,track_popularity,type,uri,valence
0.43,https://api.spotify.com/v1/audio-analysis/3tQZgWVEBpLa3G7XZyOgDq,OB Wanya,1,0.662,202340,0.859,3tQZgWVEBpLa3G7XZyOgDq,0,11,0.166,-6.776,0,0.467,86.609,4,https://api.spotify.com/v1/tracks/3tQZgWVEBpLa3G7XZyOgDq,Dear Pops,0,audio_features,spotify:track:3tQZgWVEBpLa3G7XZyOgDq,0.446
0.571,https://api.spotify.com/v1/audio-analysis/6VzS2gK65jMdsy3frmubrI,CC7,13,0.639,125007,0.647,6VzS2gK65jMdsy3frmubrI,0,5,0.124,-9.111,1,0.0353,169.99,4,https://api.spotify.com/v1/tracks/6VzS2gK65jMdsy3frmubrI,Where Did I Go Wrong ?,27,audio_features,spotify:track:6VzS2gK65jMdsy3frmubrI,0.792
0.798,https://api.spotify.com/v1/audio-analysis/4kEx4J2we86jjCUWIQRI7E,Sultan Khan,48,0.372,714360,0.376,4kEx4J2we86jjCUWIQRI7E,0.00429,7,0.36,-14.478,1,0.0439,105.022,4,https://api.spotify.com/v1/tracks/4kEx4J2we86jjCUWIQRI7E,Rag Bhairavi,22,audio_features,spotify:track:4kEx4J2we86jjCUWIQRI7E,0.211
0.932,https://api.spotify.com/v1/audio-analysis/1p5scXmqROMpCC2Xv6neHe,The Wailin' Jennys,53,0.462,203827,0.135,1p5scXmqROMpCC2Xv6neHe,2.99E-06,2,0.099,-13.438,1,0.0342,129.945,1,https://api.spotify.com/v1/tracks/1p5scXmqROMpCC2Xv6neHe,One Voice,55,audio_features,spotify:track:1p5scXmqROMpCC2Xv6neHe,0.25
0.000622,https://api.spotify.com/v1/audio-analysis/0ULtoTGnpNuMFd87BiGyP2,BluntOne,57,0.718,110462,0.452,0ULtoTGnpNuMFd87BiGyP2,0.928,1,0.105,-9.605,1,0.0471,88.012,4,https://api.spotify.com/v1/tracks/0ULtoTGnpNuMFd87BiGyP2,Oromoda,4,audio_features,spotify:track:0ULtoTGnpNuMFd87BiGyP2,0.493
0.938,https://api.spotify.com/v1/audio-analysis/4gByHMIxmP1XwaxUVhhNOX,Art Farmer & Benny Golson Jazztet,23,0.61,322880,0.239,4gByHMIxmP1XwaxUVhhNOX,0.867,0,0.17,-15.586,0,0.0339,100.39,4,https://api.spotify.com/v1/tracks/4gByHMIxmP1XwaxUVhhNOX,Whisper Not,27,audio_features,spotify:track:4gByHMIxmP1XwaxUVhhNOX,0.352
0.081,https://api.spotify.com/v1/audio-analysis/2XoRfYapTbvY95Rmo8yXyA,Mark Battles,50,0.527,233221,0.945,2XoRfYapTbvY95Rmo8yXyA,0,0,0.149,-4.722,1,0.314,73.005,4,https://api.spotify.com/v1/tracks/2XoRfYapTbvY95Rmo8yXyA,Riding Slow (feat. Dizzy Wright),6,audio_features,spotify:track:2XoRfYapTbvY95Rmo8yXyA,0.748
0.0202,https://api.spotify.com/v1/audio-analysis/3uPfVXcjnpOjyzI3jb3js4,Sugar Ray,64,0.835,244640,0.648,3uPfVXcjnpOjyzI3jb3js4,0.225,1,0.308,-8.15,1,0.0488,99.701,4,https://api.spotify.com/v1/tracks/3uPfVXcjnpOjyzI3jb3js4,Fly,70,audio_features,spotify:track:3uPfVXcjnpOjyzI3jb3js4,0.674
0.0494,https://api.spotify.com/v1/audio-analysis/1c7YvFPE0PWud0InScOX3r,Chase Atlantic,83,0.607,226844,0.725,1c7YvFPE0PWud0InScOX3r,0.000107,10,0.434,-5.742,0,0.11,126.034,4,https://api.spotify.com/v1/tracks/1c7YvFPE0PWud0InScOX3r,OHMAMI - With Maggie Lindemann,71,audio_features,spotify:track:1c7YvFPE0PWud0InScOX3r,0.387
0.205,https://api.spotify.com/v1/audio-analysis/6f7PPtTWs1eN58lSpKh0tT,Jerry Curl,10,0.594,60416,0.368,6f7PPtTWs1eN58lSpKh0tT,0.803,7,0.0741,-10.84,1,0.0513,181.168,3,https://api.spotify.com/v1/tracks/6f7PPtTWs1eN58lSpKh0tT,First Song,8,audio_features,spotify:track:6f7PPtTWs1eN58lSpKh0tT,0.494
0.00815,https://api.spotify.com/v1/audio-analysis/36wJvZP5dcK3CCguaGNSYo,Northern Light,0,0.156,574750,0.788,36wJvZP5dcK3CCguaGNSYo,0.897,9,0.0704,-6.52,0,0.056,160.201,3,https://api.spotify.com/v1/tracks/36wJvZP5dcK3CCguaGNSYo,Dark Energy,0,audio_features,spotify:track:36wJvZP5dcK3CCguaGNSYo,0.282
0.647,https://api.spotify.com/v1/audio-analysis/7x6YzZcSInQY6g2l6nBQ5c,Michèle Bernard,23,0.748,187987,0.288,7x6YzZcSInQY6g2l6nBQ5c,0,0,0.12,-9.052,1,0.579,94.48,4,https://api.spotify.com/v1/tracks/7x6YzZcSInQY6g2l6nBQ5c,Chansons des poires,4,audio_features,spotify:track:7x6YzZcSInQY6g2l6nBQ5c,0.517
0.106,https://api.spotify.com/v1/audio-analysis/1cPgLUl41Dx8S26HUmuQQE,K-Ci & JoJo,64,0.687,308933,0.585,1cPgLUl41Dx8S26HUmuQQE,0,11,0.344,-7.721,0,0.0455,118.169,4,https://api.spotify.com/v1/tracks/1cPgLUl41Dx8S26HUmuQQE,Just For Your Love,29,audio_features,spotify:track:1cPgLUl41Dx8S26HUmuQQE,0.515
0.103,https://api.spotify.com/v1/audio-analysis/6BCaRwoa7LNDc34dvz3Bn3,Cr3nt0x,4,0.762,163009,0.567,6BCaRwoa7LNDc34dvz3Bn3,3.14E-05,5,0.396,-9.892,0,0.0449,112.006,4,https://api.spotify.com/v1/tracks/6BCaRwoa7LNDc34dvz3Bn3,Antidote,2,audio_features,spotify:track:6BCaRwoa7LNDc34dvz3Bn3,0.416
0.273,https://api.spotify.com/v1/audio-analysis/3iyetnAirsMWpKl6oaO1Om,Björn Skifs,63,0.66,182907,0.629,3iyetnAirsMWpKl6oaO1Om,4.28E-05,0,0.0973,-4.082,1,0.0396,102.754,4,https://api.spotify.com/v1/tracks/3iyetnAirsMWpKl6oaO1Om,Why the Hell Do You Love Me,3,audio_features,spotify:track:3iyetnAirsMWpKl6oaO1Om,0.696
0.0142,https://api.spotify.com/v1/audio-analysis/1RvcyxdkVGT3nmRTePLMvw,MARINA,80,0.69,221493,0.897,1RvcyxdkVGT3nmRTePLMvw,0,11,0.108,-4.696,0,0.0506,140.05,4,https://api.spotify.com/v1/tracks/1RvcyxdkVGT3nmRTePLMvw,How to Be a Heartbreaker,53,audio_features,spotify:track:1RvcyxdkVGT3nmRTePLMvw,0.849
0.993,https://api.spotify.com/v1/audio-analysis/4HMvWBr73ezfUKfmSjeouy,Deep Sleep Music Therapy,56,0.171,181580,0.007,4HMvWBr73ezfUKfmSjeouy,0.939,8,0.0813,-32.809,0,0.062,68.28,4,https://api.spotify.com/v1/tracks/4HMvWBr73ezfUKfmSjeouy,Cheerful Ambiance for Deep Sleep and Music Therapy,47,audio_features,spotify:track:4HMvWBr73ezfUKfmSjeouy,0.0626
0.634,https://api.spotify.com/v1/audio-analysis/096O9QxDBQ1xPIyLskGwbq,Finley Quaye,49,0.677,234560,0.264,096O9QxDBQ1xPIyLskGwbq,0.103,9,0.111,-13.641,1,0.164,94.032,4,https://api.spotify.com/v1/tracks/096O9QxDBQ1xPIyLskGwbq,Even After All,56,audio_features,spotify:track:096O9QxDBQ1xPIyLskGwbq,0.468
0.858,https://api.spotify.com/v1/audio-analysis/6EYSNXcrAnIJ7uyMZf850B,Arrival,0,0.795,277213,0.43,6EYSNXcrAnIJ7uyMZf850B,0.345,8,0.727,-16.287,1,0.134,130.067,4,https://api.spotify.com/v1/tracks/6EYSNXcrAnIJ7uyMZf850B,Rhythmic Conversation Russ Miller/Jeff Hamilton (Featuring George Shelby),0,audio_features,spotify:track:6EYSNXcrAnIJ7uyMZf850B,0.467
0.0878,https://api.spotify.com/v1/audio-analysis/7zmmsmKRF2YXU5pI8nLziD,Arse-Myth,0,0.628,400000,0.585,7zmmsmKRF2YXU5pI8nLziD,0.51,10,0.0498,-14.28,1,0.0268,120.015,4,https://api.spotify.com/v1/tracks/7zmmsmKRF2YXU5pI8nLziD,Doublethink,0,audio_features,spotify:track:7zmmsmKRF2YXU5pI8nLziD,0.676
0.0136,https://api.spotify.com/v1/audio-analysis/6AfLmKXzhEZjwiVPs5jhdV,No Doubt,70,0.772,242587,0.665,6AfLmKXzhEZjwiVPs5jhdV,0.012,8,0.0905,-3.947,1,0.0349,115.138,4,https://api.spotify.com/v1/tracks/6AfLmKXzhEZjwiVPs5jhdV,Hella Good,65,audio_features,spotify:track:6AfLmKXzhEZjwiVPs5jhdV,0.838
