acousticness,analysis_url,artist_name,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,track_name,track_popularity,type,uri,valence
0.0768,https://api.spotify.com/v1/audio-analysis/0fdnRazMjBPOc7R4KGyS1u,Lake of Witches,0,0.459,248059,0.928,0fdnRazMjBPOc7R4KGyS1u,0.881,2,0.245,-7.186,1,0.0576,119.967,4,https://api.spotify.com/v1/tracks/0fdnRazMjBPOc7R4KGyS1u,Entangled in Roots,0,audio_features,spotify:track:0fdnRazMjBPOc7R4KGyS1u,0.637
0.94,https://api.spotify.com/v1/audio-analysis/3eXI7kE0Odabv9bKqyWjPb,Aadamh,0,0.757,151997,0.192,3eXI7kE0Odabv9bKqyWjPb,0.00755,7,0.0611,-14.52,1,0.0361,113.938,4,https://api.spotify.com/v1/tracks/3eXI7kE0Odabv9bKqyWjPb,Little White Keyring,0,audio_features,spotify:track:3eXI7kE0Odabv9bKqyWjPb,0.253
0.00252,https://api.spotify.com/v1/audio-analysis/2zH45EL665vY1rWcPeS07p,Psychostick,48,0.682,199573,0.858,2zH45EL665vY1rWcPeS07p,3.44E-05,1,0.203,-5.335,1,0.191,131.593,4,https://api.spotify.com/v1/tracks/2zH45EL665vY1rWcPeS07p,Socks & Sandals (Pajama Pants),27,audio_features,spotify:track:2zH45EL665vY1rWcPeS07p,0.837
0.0168,https://api.spotify.com/v1/audio-analysis/08Xo5XKv4eCffncOuBi51c,Dr. Feelgood Potts,3,0.924,248867,0.804,08Xo5XKv4eCffncOuBi51c,0.00359,5,0.17,-6.082,0,0.0483,110.039,4,https://api.spotify.com/v1/tracks/08Xo5XKv4eCffncOuBi51c,Let's Get a Quickie,4,audio_features,spotify:track:08Xo5XKv4eCffncOuBi51c,0.912
0.224,https://api.spotify.com/v1/audio-analysis/4gh444So9a47hRjrF28LP7,Luca Bonaffini,0,0.723,215907,0.801,4gh444So9a47hRjrF28LP7,0,2,0.354,-7.035,1,0.0258,126.97,4,https://api.spotify.com/v1/tracks/4gh444So9a47hRjrF28LP7,Fame nuova,0,audio_features,spotify:track:4gh444So9a47hRjrF28LP7,0.643
0.00451,https://api.spotify.com/v1/audio-analysis/0IJuGc14Ptmx9ZZdLRVVZU,Felix,25,0.791,72020,0.799,0IJuGc14Ptmx9ZZdLRVVZU,0.866,0,0.106,-18.214,0,0.388,129.964,4,https://api.spotify.com/v1/tracks/0IJuGc14Ptmx9ZZdLRVVZU,zero to hero,31,audio_features,spotify:track:0IJuGc14Ptmx9ZZdLRVVZU,0.977
0.519,https://api.spotify.com/v1/audio-analysis/260FKIaAwovHuUTJ7IvKUK,John Williams,75,0.165,251547,0.157,260FKIaAwovHuUTJ7IvKUK,0.894,1,0.106,-16.721,0,0.0369,66.033,4,https://api.spotify.com/v1/tracks/260FKIaAwovHuUTJ7IvKUK,In the Jungle,33,audio_features,spotify:track:260FKIaAwovHuUTJ7IvKUK,0.0333
0.977,https://api.spotify.com/v1/audio-analysis/7yAiqu3d6fSTvmAZBCdGjS,Native American Music World,21,0.397,225974,0.255,7yAiqu3d6fSTvmAZBCdGjS,0.979,10,0.106,-24.055,1,0.0482,112.56,3,https://api.spotify.com/v1/tracks/7yAiqu3d6fSTvmAZBCdGjS,Apache Mountain Spirit Ceremony - Гармония,17,audio_features,spotify:track:7yAiqu3d6fSTvmAZBCdGjS,0.303
0.968,https://api.spotify.com/v1/audio-analysis/0Zhk8Bsaq7umH5Si4r1xdX,Jim Ringer,9,0.567,215280,0.0665,0Zhk8Bsaq7umH5Si4r1xdX,0,0,0.108,-20.072,1,0.0475,175.604,3,https://api.spotify.com/v1/tracks/0Zhk8Bsaq7umH5Si4r1xdX,Dreary Black Hills,1,audio_features,spotify:track:0Zhk8Bsaq7umH5Si4r1xdX,0.48
0.00145,https://api.spotify.com/v1/audio-analysis/1qZ1T3yt6JeiVAcBRiuv3I,Balance And Composure,48,0.4,254347,0.951,1qZ1T3yt6JeiVAcBRiuv3I,0.00956,11,0.177,-4.71,0,0.137,129.929,4,https://api.spotify.com/v1/tracks/1qZ1T3yt6JeiVAcBRiuv3I,Back of Your Head,36,audio_features,spotify:track:1qZ1T3yt6JeiVAcBRiuv3I,0.068
